,x
100_g_at,0.001855995
1000_at,-0.047291499
1001_at,0.062631125
1002_f_at,0.026121906
1003_s_at,0.007345321
1004_at,0.008737635
1005_at,-0.092932431
1006_at,0.089894775
1007_s_at,-0.056637616
1008_f_at,-0.038314874
1009_at,0.009004949
101_at,-0.001341847
1010_at,0.024356776
1011_s_at,-0.055067577
1012_at,-0.017084284
1013_at,-0.054668997
1014_at,0.001960318
1015_s_at,0.012292691
1016_s_at,0.07178557
1017_at,0.073113709
1018_at,-0.004237481
1019_g_at,-0.000817872
102_at,0.005738798
1020_s_at,0.034045785
1021_at,0.070006173
1022_f_at,0.042616649
1023_at,-0.001261214
1024_at,0.019964855
1025_g_at,-0.042606353
1026_s_at,-0.001117465
1027_at,0.022132768
1028_at,0.003199534
1029_s_at,0.075467353
103_at,0.013683482
1030_s_at,-0.001590556
1031_at,0.103387828
1032_at,-0.01264878
1033_g_at,0.021238002
1034_at,-0.128721505
1035_g_at,-0.128935264
1036_at,-0.097846637
1037_at,0.000239981
1038_s_at,-0.099795275
1039_s_at,-0.338701421
104_at,0.024329516
1040_s_at,-0.056586642
1041_at,0.007802155
1042_at,-0.016986707
1043_s_at,-0.001827215
1044_s_at,-0.017729406
1045_s_at,-0.02142879
1046_at,-0.026430447
1047_s_at,-0.13715019
1048_at,0.044156964
1049_g_at,-0.006054907
105_at,0.046679356
1050_at,-0.196472392
1051_g_at,-0.090058935
1052_s_at,-0.251288601
1053_at,0.093601492
1054_at,0.091078918
1055_g_at,0.10529595
1056_s_at,0.061917687
1057_at,-0.214260796
1058_at,-0.073306246
1059_at,0.031722272
106_at,-0.048713374
1060_g_at,0.022362415
1061_at,0.002349034
1062_g_at,0.025950603
1063_s_at,0.008565624
1064_at,-0.310979138
1065_at,0.045180411
1066_at,0.029891378
1067_at,0.01809789
1068_g_at,0.006696069
1069_at,-0.181367153
107_at,0.007657265
1070_at,0.037083569
1071_at,0.068815818
1072_g_at,0.099298055
1073_at,0.05433038
1074_at,0.003534409
1075_f_at,0.034341467
1076_at,0.157617829
1077_at,-0.028602312
1078_at,0.007825249
1079_g_at,-0.018260417
108_g_at,0.003980783
1080_s_at,0.039724259
1081_at,0.067334283
1082_at,-0.019230593
1083_s_at,-0.022886629
1084_at,0.024616879
1085_s_at,-0.022487392
1086_at,0.0086858
1087_at,0.086543101
1088_at,-0.097128235
1089_i_at,0.033447789
109_at,0.078330247
1090_f_at,0.112054336
1091_at,-0.000993749
1092_at,-0.004259949
1093_at,0.053104222
1094_g_at,0.003810434
1095_s_at,-0.091463502
1096_g_at,0.029203383
1097_s_at,0.013600524
1098_at,0.020418076
1099_s_at,-0.0755777
110_at,-0.023408306
1100_at,0.07137651
1101_at,-0.030077044
1102_s_at,-0.080688028
1103_at,-0.214257893
1104_s_at,0.170771732
1105_s_at,-0.373133569
1106_s_at,-0.005706835
1107_s_at,-0.000949783
1108_s_at,-0.038956677
1109_s_at,-0.000713353
111_at,0.019513155
1110_at,0.029541342
1111_at,-0.031818721
1112_g_at,-0.001002136
1113_at,-0.066409013
1114_at,-0.054583041
1115_at,0.06826759
1116_at,0.053570952
1117_at,-0.018168488
1118_at,-0.020743379
1119_at,0.083205248
112_g_at,0.044800213
1120_at,-0.037960494
1121_g_at,-0.014981065
1122_f_at,0.022329684
1123_at,0.008108067
1124_at,0.00074127
1125_s_at,-0.182124017
1126_s_at,-0.7676719
1127_at,0.020913965
1128_s_at,-0.021787174
1129_at,0.057466296
113_i_at,0.074446405
1130_at,-0.011882306
1131_at,0.018415646
1132_s_at,-0.005346492
1133_at,0.010928959
1134_at,-0.003635315
1135_at,-0.091068826
1136_at,0.029905219
1137_at,-0.033987128
1138_at,0.010186921
1139_at,-0.11889235
114_r_at,0.078448721
